rank,name,height_m,floors,year,city,country,lat,lon
41,Shun Hing Square,384,69,1996,Shenzhen,China,22.5455,114.0945
42,Eton Place Dalian Tower 1,383.45,80,2016,Dalian,China,38.9140,121.6147
43,Logan Century Center 1,381,68,2017,Nanning,China,22.8067,108.2978
44,Empire State Building,381,102,1931,New York City,United States,40.7484,-73.9857
45,Elite Residence,380.5,87,2012,Dubai,United Arab Emirates,25.0848,55.1414
46,Central Plaza,373.9,78,1992,Hong Kong,China,22.2810,114.1736
47,Federation Tower,373.7,93,2017,Moscow,Russia,55.7494,37.5392
48,Riverview Plaza A1,370,73,2018,Wuhan,China,30.5658,114.3057
49,Dongguan International Trade Center 1,367.25,88,2020,Dongguan,China,23.0489,113.7447
50,The Address Boulevard,370,72,2017,Dubai,United Arab Emirates,25.1972,55.2728
51,Bank of China Tower,367.4,72,1990,Hong Kong,China,22.2789,114.1614
52,Bank of America Tower,365.8,55,2009,New York City,United States,40.7556,-73.9842
53,Almas Tower,360,68,2008,Dubai,United Arab Emirates,25.0700,55.1391
54,Hanking Center,358.9,65,2018,Shenzhen,China,22.5400,113.9300
55,JW Marriott Marquis Tower 1,355.4,82,2012,Dubai,United Arab Emirates,25.1860,55.2630
56,JW Marriott Marquis Tower 2,355.4,82,2013,Dubai,United Arab Emirates,25.1862,55.2632
57,Emirates Office Tower,354.6,54,2000,Dubai,United Arab Emirates,25.2174,55.2825
58,Tuntex Sky Tower,347.5,85,1997,Kaohsiung,Taiwan,22.6113,120.3018
59,Aon Center,346.3,83,1973,Chicago,United States,41.8853,-87.6213
60,The Center,346,73,1998,Hong Kong,China,22.2814,114.1582
61,Chongqing World Financial Center,339,73,2014,Chongqing,China,29.5586,106.5778
62,John Hancock Center,343.7,100,1969,Chicago,United States,41.8989,-87.6228
63,Mercury City Tower,338.8,75,2013,Moscow,Russia,55.7494,37.5392
64,Tianjin Modern City Office Tower,338,65,2017,Tianjin,China,39.0850,117.2010
65,Tianjin World Financial Center,336.9,75,2011,Tianjin,China,39.1378,117.2104
66,The Stratford,334,79,2020,New York City,United States,40.7128,-74.0060
67,30 Hudson Yards,387.1,73,2019,New York City,United States,40.7536,-74.0014
68,53 West 53,320,73,2020,New York City,United States,40.7615,-73.9785
69,Comcast Technology Center,341.9,60,2018,Philadelphia,United States,39.9543,-75.1681
70,Burj Mohammed Bin Rashid,381.2,88,2014,Abu Dhabi,United Arab Emirates,24.4949,54.3833
71,Q1 Tower,322.5,78,2005,Gold Coast,Australia,-28.0297,153.4307
72,Mahanakhon,314.2,77,2016,Bangkok,Thailand,13.7235,100.5290
73,Capital City Moscow Tower,301.6,76,2010,Moscow,Russia,55.7505,37.5396
74,Eureka Tower,297.3,91,2006,Melbourne,Australia,-37.8214,144.9647
75,Cayan Tower,306.4,73,2013,Dubai,United Arab Emirates,25.0795,55.1397
76,Torre Costanera,300,64,2014,Santiago,Chile,-33.4173,-70.6068
77,Carlton Centre,223,50,1973,Johannesburg,South Africa,-26.2055,28.0451
78,Ostankino Tower,540.1,120,1967,Moscow,Russia,55.8197,37.6117
